qasm_file,sabre_swaps,sabre_time_s,sabre_depth,sabre_2q_depth,sabre_size,sabre_ops_json,multilevel_swaps,multilevel_time_s,multilevel_depth,multilevel_2q_depth,multilevel_size,multilevel_ops_json,speedup,swap_reduction_pct,error
circuits_no_swaps/swap_test_n83.qasm,0,0.0283,44,0,126,"{""rx"": 82, ""cswap"": 41, ""h"": 2, ""measure"": 1}",0,0.0165,44,0,126,"{""rx"": 82, ""cswap"": 41, ""h"": 2, ""measure"": 1}",1.7152,0.0,
circuits_no_swaps/knn_67.qasm,0,0.0177,36,0,102,"{""ry"": 66, ""cswap"": 33, ""h"": 2, ""measure"": 1}",0,0.0149,36,0,102,"{""ry"": 66, ""cswap"": 33, ""h"": 2, ""measure"": 1}",1.1879,0.0,
circuits_no_swaps/dnn_n51.qasm,6,0.0786,70,65,230,"{""measure"": 51, ""u3"": 50, ""cswap"": 25, ""rzz"": 24, ""cry"": 24, ""crz"": 24, ""swap"": 6, ""h"": 2, ""ryy"": 1, ""ryy_140578989711904"": 1, ""ryy_140578989712096"": 1, ""ryy_140578989712192"": 1, ""ryy_140578989712288"": 1, ""ryy_140578989712384"": 1, ""ryy_140578989712480"": 1, ""ryy_140578989712576"": 1, ""ryy_140578989712672"": 1, ""ryy_140578989712768"": 1, ""ryy_140578989712864"": 1, ""ryy_140578989712960"": 1, ""ryy_140578989713056"": 1, ""ryy_140578989713152"": 1, ""ryy_140578989713248"": 1, ""ryy_140578989713344"": 1, ""ryy_140578989713440"": 1, ""ryy_140578989713536"": 1, ""ryy_140578989713632"": 1, ""ryy_140578989713728"": 1, ""ryy_140578989713824"": 1, ""ryy_140578989713920"": 1, ""ryy_140578989714016"": 1, ""ryy_140578989714112"": 1, ""barrier"": 1}",0,0.0615,58,52,274,"{""measure"": 51, ""ry"": 50, ""rz"": 50, ""cswap"": 25, ""rzz"": 24, ""cry"": 24, ""crz"": 24, ""h"": 2, ""ryy"": 1, ""ryy_140578989711904"": 1, ""ryy_140578989712096"": 1, ""ryy_140578989712192"": 1, ""ryy_140578989712288"": 1, ""ryy_140578989712384"": 1, ""ryy_140578989712480"": 1, ""ryy_140578989712576"": 1, ""ryy_140578989712672"": 1, ""ryy_140578989712768"": 1, ""ryy_140578989712864"": 1, ""ryy_140578989712960"": 1, ""ryy_140578989713056"": 1, ""ryy_140578989713152"": 1, ""ryy_140578989713248"": 1, ""ryy_140578989713344"": 1, ""ryy_140578989713440"": 1, ""ryy_140578989713536"": 1, ""ryy_140578989713632"": 1, ""ryy_140578989713728"": 1, ""ryy_140578989713824"": 1, ""ryy_140578989713920"": 1, ""ryy_140578989714016"": 1, ""ryy_140578989714112"": 1, ""barrier"": 1}",1.278,100.0,
circuits_no_swaps/ghz_n78.qasm,0,790.7529,79,77,156,"{""measure"": 78, ""cx"": 77, ""h"": 1, ""barrier"": 1}",0,0.0567,79,77,156,"{""measure"": 78, ""cx"": 77, ""h"": 1, ""barrier"": 1}",13946.2593,0.0,
circuits_no_swaps/ising_n98.qasm,0,599.5028,9,4,535,"{""cx"": 194, ""rz"": 145, ""u2"": 98, ""measure"": 98, ""barrier"": 1}",0,0.1073,16,4,1170,"{""rz"": 584, ""h"": 294, ""cx"": 194, ""measure"": 98, ""barrier"": 1}",5587.165,0.0,
circuits_no_swaps/multiplier_n45.qasm,0,0.0314,462,234,698,"{""ccx"": 378, ""cx"": 306, ""measure"": 9, ""x"": 5}",0,0.0126,462,234,698,"{""ccx"": 378, ""cx"": 306, ""measure"": 9, ""x"": 5}",2.4921,0.0,
circuits_no_swaps/cat_n65.qasm,0,528.0554,66,64,130,"{""measure"": 65, ""cx"": 64, ""h"": 1, ""barrier"": 1}",0,0.0566,66,64,130,"{""measure"": 65, ""cx"": 64, ""h"": 1, ""barrier"": 1}",9329.6007,0.0,
