qasm_file,sabre_swaps,sabre_time_s,sabre_depth,sabre_2q_depth,sabre_size,sabre_ops_json,multilevel_swaps,multilevel_time_s,multilevel_depth,multilevel_2q_depth,multilevel_size,multilevel_ops_json,speedup,swap_reduction_pct,error
circuits_no_swaps/swap_test_n83.qasm,0,0.0357,44,0,126,"{""rx"": 82, ""cswap"": 41, ""h"": 2, ""measure"": 1}",0,0.0137,44,0,126,"{""rx"": 82, ""cswap"": 41, ""h"": 2, ""measure"": 1}",2.6058,0.0,
circuits_no_swaps/knn_67.qasm,0,0.0175,36,0,102,"{""ry"": 66, ""cswap"": 33, ""h"": 2, ""measure"": 1}",0,0.0069,36,0,102,"{""ry"": 66, ""cswap"": 33, ""h"": 2, ""measure"": 1}",2.5362,0.0,
circuits_no_swaps/dnn_n51.qasm,6,0.0605,70,65,230,"{""measure"": 51, ""u3"": 50, ""cswap"": 25, ""rzz"": 24, ""cry"": 24, ""crz"": 24, ""swap"": 6, ""h"": 2, ""ryy"": 1, ""ryy_140578989711904"": 1, ""ryy_140578989712096"": 1, ""ryy_140578989712192"": 1, ""ryy_140578989712288"": 1, ""ryy_140578989712384"": 1, ""ryy_140578989712480"": 1, ""ryy_140578989712576"": 1, ""ryy_140578989712672"": 1, ""ryy_140578989712768"": 1, ""ryy_140578989712864"": 1, ""ryy_140578989712960"": 1, ""ryy_140578989713056"": 1, ""ryy_140578989713152"": 1, ""ryy_140578989713248"": 1, ""ryy_140578989713344"": 1, ""ryy_140578989713440"": 1, ""ryy_140578989713536"": 1, ""ryy_140578989713632"": 1, ""ryy_140578989713728"": 1, ""ryy_140578989713824"": 1, ""ryy_140578989713920"": 1, ""ryy_140578989714016"": 1, ""ryy_140578989714112"": 1, ""barrier"": 1}",0,0.0639,58,52,274,"{""measure"": 51, ""ry"": 50, ""rz"": 50, ""cswap"": 25, ""rzz"": 24, ""cry"": 24, ""crz"": 24, ""h"": 2, ""ryy"": 1, ""ryy_140578989711904"": 1, ""ryy_140578989712096"": 1, ""ryy_140578989712192"": 1, ""ryy_140578989712288"": 1, ""ryy_140578989712384"": 1, ""ryy_140578989712480"": 1, ""ryy_140578989712576"": 1, ""ryy_140578989712672"": 1, ""ryy_140578989712768"": 1, ""ryy_140578989712864"": 1, ""ryy_140578989712960"": 1, ""ryy_140578989713056"": 1, ""ryy_140578989713152"": 1, ""ryy_140578989713248"": 1, ""ryy_140578989713344"": 1, ""ryy_140578989713440"": 1, ""ryy_140578989713536"": 1, ""ryy_140578989713632"": 1, ""ryy_140578989713728"": 1, ""ryy_140578989713824"": 1, ""ryy_140578989713920"": 1, ""ryy_140578989714016"": 1, ""ryy_140578989714112"": 1, ""barrier"": 1}",0.9468,100.0,
circuits_no_swaps/ghz_n78.qasm,16,0.0345,95,93,172,"{""measure"": 78, ""cx"": 77, ""swap"": 16, ""h"": 1, ""barrier"": 1}",0,0.0591,79,77,156,"{""measure"": 78, ""cx"": 77, ""h"": 1, ""barrier"": 1}",0.5838,100.0,
circuits_no_swaps/ising_n98.qasm,17,0.0551,18,10,552,"{""cx"": 194, ""rz"": 145, ""u2"": 98, ""measure"": 98, ""swap"": 17, ""barrier"": 1}",0,0.0665,16,4,1170,"{""rz"": 584, ""h"": 294, ""cx"": 194, ""measure"": 98, ""barrier"": 1}",0.8286,100.0,
circuits_no_swaps/multiplier_n45.qasm,0,0.0327,462,234,698,"{""ccx"": 378, ""cx"": 306, ""measure"": 9, ""x"": 5}",0,0.0116,462,234,698,"{""ccx"": 378, ""cx"": 306, ""measure"": 9, ""x"": 5}",2.819,0.0,
circuits_no_swaps/cat_n65.qasm,14,0.0303,80,78,144,"{""measure"": 65, ""cx"": 64, ""swap"": 14, ""h"": 1, ""barrier"": 1}",0,0.0587,66,64,130,"{""measure"": 65, ""cx"": 64, ""h"": 1, ""barrier"": 1}",0.5162,100.0,
